Index,Call Number,Title,Barcode,Notes,Image_barcode,Image_1,Image_2,Image_3,Year,Author,Interventions,Location-Building,Location-Shelf,Class,Subclass,Decade2,Language,Location,,
BMC-DF-0021,DF251 .M9 1839 (vol. 1),"The history and antiquities of the Doric race,",31796001302120,,,B_Images/BMC-DF-0021.Image_1.184605.jpg,,,1839.,"Müller, Karl Otfried, 1797-1840.",No,Carpenter Library,Stacks,D,DF,1830s,English,enk,,
BMC-PR-0090,PR2245 .A1 1839 (vol. 1),The works /,3.1796E+13,,,,,,1839,"Donne, John, 1572-1631.",No,Canaday Library,Stacks (Monographs),P,PR,1830s,English,enk,,
BMC-PR-0170,PR3302 1830 (vol. 1),The miscellaneous works of Joseph Addison.,3.1796E+13,,,,,,1830,"Addison, Joseph, 1672-1719.",No,Canaday Library,Stacks (Monographs),P,PR,1830s,English,enk,,
BMC-BR-0073,BR305 .C27 (vol. 6),"Histoire de la réforme, de la Ligue, et du règne de Henri IV;",3.1796E+13,,B_Images/BMC-BR-0073.Image_barcode.182250.jpg,B_Images/BMC-BR-0073.Image_1.182302.jpg,,,1834-1835.,"Capefigue, M. 1802-1872. (Jean Baptiste Honoré Raymond),",No,Canaday Library,Stacks (Monographs),B,BR,1830s,French,fr ,,
BMC-BR-0074,BR305 .C27 (vol. 5),"Histoire de la réforme, de la Ligue, et du règne de Henri IV;",3.1796E+13,,B_Images/BMC-BR-0074.Image_barcode.184133.jpg,B_Images/BMC-BR-0074.Image_1.184141.jpg,,,1834-1835.,"Capefigue, M. 1802-1872. (Jean Baptiste Honoré Raymond),",No,Canaday Library,Stacks (Monographs),B,BR,1830s,French,fr ,,
BMC-DC-0001,DC3 .A67 (vol. ser. 1 v. 6),"Archives curieuses de l'histoire de France depuis Louis XI jusqu'a Louis XVIII, ou Collection de pièces rares et intéressantes ...: publiées d'apresles textes conse__ves à la Bibliothèque royale, et accompagnées de notices et d'éclaircissemens /",31796000996427,,,,,,1834-40.,,No,Canaday Library,Stacks (Monographs),D,DC,1830s,French,fr ,,
BMC-DC-0002,DC3 .A67 (vol. ser. 1 v. 12),"Archives curieuses de l'histoire de France depuis Louis XI jusqu'a Louis XVIII, ou Collection de pièces rares et intéressantes ...: publiées d'apresles textes conse__ves à la Bibliothèque royale, et accompagnées de notices et d'éclaircissemens /",31796000996732,,,,,,1834-40.,,No,Canaday Library,Stacks (Monographs),D,DC,1830s,French,fr ,,
BMC-DC-0003,DC3 .A67 (vol. ser. 2 v. 10),"Archives curieuses de l'histoire de France depuis Louis XI jusqu'a Louis XVIII, ou Collection de pièces rares et intéressantes ...: publiées d'apresles textes conse__ves à la Bibliothèque royale, et accompagnées de notices et d'éclaircissemens /",31796000996815,,,,,,1834-40.,,No,Canaday Library,Stacks (Monographs),D,DC,1830s,French,fr ,,
BMC-DC-0059,DC131.9.C7 A2 (vol. 2),Souvenirs de la marquise de Créquy. 1710 à ... [1802],31796001144126,,,,,,1834-35.,"Courchamps, comte de, 1783-1849.",No,Canaday Library,Stacks (Monographs),D,DC,1830s,French,fr ,,
BMC-DC-0060,DC131.9.C7 A2 (vol. 1),Souvenirs de la marquise de Créquy. 1710 à ... [1802],31796001144415,,,,,,1834-35.,"Courchamps, comte de, 1783-1849.",No,Canaday Library,Stacks (Monographs),D,DC,1830s,French,fr ,,
BMC-E-0012,E87 .W54,"A biographical memoir of the Rev. John Williams, first minister of Deerfield, Massachusetts: With a slight sketch of ancient Deerfield, and an account of the Indian wars in that place and vicinity. With an appendix, containing the journal of the Rev. Doctor Stephen Williams, of Longmeadow, during his captivity, and other papers relating to the early Indian wars in Deerfield /",3.17961E+13,,,,,,1837,"Williams, Stephen West, 1790-1855.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-E-0037,E176 .S81 (vol. 5),The library of American biography.,3.1796E+13,,,,,,1834-48.,"Sparks, Jared, 1789-1866. ed.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-E-0038,E176 .S81 (vol. 18),The library of American biography.,3.1796E+13,,,,,,1834-48.,"Sparks, Jared, 1789-1866. ed.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-E-0040,E176 .S81 (vol. 15),The library of American biography.,3.1796E+13,,,,,,1834-48.,"Sparks, Jared, 1789-1866. ed.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-E-0041,E176 .S81 (vol. 7),The library of American biography.,3.1796E+13,,,,,,1834-48.,"Sparks, Jared, 1789-1866. ed.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-E-0042,E176 .S81 (vol. 20),The library of American biography.,3.1796E+13,,,,,,1834-48.,"Sparks, Jared, 1789-1866. ed.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,mau,,
BMC-BT-0015,BT775 .B3 1831,The harmony of the divine attributes in the contrivance and accomplishment of man's redemption /,3.17961E+13,,,,,,1831,"Bates, William, 1625-1699.",No,Canaday Library,Stacks (Monographs),B,BT,1830s,English,nyu,,
BMC-E-0083,E338 .M88,"Foreign conspiracy against the liberties of the United States : The numbers of Brutus, originally published in the New-York observer, /",3.17961E+13,,,,,,1835,"Morse, Samuel Finley Breese, 1791-1872.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,nyu,,
BMC-E-0071,E302.6.H5 W78,Sketches of the life and character of Patrick Henry.,3.17961E+13,,,,,,1836,"Wirt, William, 1772-1834.",No,Canaday Library,Stacks (Monographs),E,E,1830s,English,pau,,
